https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume USD
1482021360,2016-12-18 00:36:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482021300,2016-12-18 00:35:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482021240,2016-12-18 00:34:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482021180,2016-12-18 00:33:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482021120,2016-12-18 00:32:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482021060,2016-12-18 00:31:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482021000,2016-12-18 00:30:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482020940,2016-12-18 00:29:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482020880,2016-12-18 00:28:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482020820,2016-12-18 00:27:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482020760,2016-12-18 00:26:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482020700,2016-12-18 00:25:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482020640,2016-12-18 00:24:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482020580,2016-12-18 00:23:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482020520,2016-12-18 00:22:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482020460,2016-12-18 00:21:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482020400,2016-12-18 00:20:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482020340,2016-12-18 00:19:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482020280,2016-12-18 00:18:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482020220,2016-12-18 00:17:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482020160,2016-12-18 00:16:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482020100,2016-12-18 00:15:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482020040,2016-12-18 00:14:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482019980,2016-12-18 00:13:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482019920,2016-12-18 00:12:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482019860,2016-12-18 00:11:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482019800,2016-12-18 00:10:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482019740,2016-12-18 00:09:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482019680,2016-12-18 00:08:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482019620,2016-12-18 00:07:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482019560,2016-12-18 00:06:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482019500,2016-12-18 00:05:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482019440,2016-12-18 00:04:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482019380,2016-12-18 00:03:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482019320,2016-12-18 00:02:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482019260,2016-12-18 00:01:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482019200,2016-12-18 00:00:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482019140,2016-12-17 23:59:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482019080,2016-12-17 23:58:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482019020,2016-12-17 23:57:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482018960,2016-12-17 23:56:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
